,text
3354,14 days backup and single time upto 3.5 hours.Buy it the best Entry level TWS earphones
3355,"Third class product. 3 days after one earbud got silent,,without packing no refund,,,"
3356,"While this is one of the very sleek looking pods in the market, it certainly doesnt have a good microphone, and hence cannot be used for making phone calls. The person at the other end keeps saying that the voice is muffled / not clear, and the moment I disconnected the pods in the same position, they could hear me clearly.I bought one pair, and returned it due to this reason, and bought another pair of the same earphones. However, even for the second pair, the same issue persists that the person at the other end cannot hear clearly. I even tried removing one pod from one ear and keeping the other one close to my mouth, but there was no improvement.I would not recommend this product unless this issue is fixed. However, if you are using the pod ONLY for hearing music, then it is a decent buy."
3357,Small issue is felt sometimes it gone a romove from ears. But actually not. Some times Bluetooth mic is not working properly.it is not comfortable to speak phone calls compared to wired ear phones. Other wise videos songs and all it given a good experience to hear.
3358,Nice product
3359,Use for phone calls
3360,Good
3361,Dilike
3362,Charging box
3363,Solid item for rought tough use.
3364,Good
3365,"                    The media could not be loaded.
                



 Like ,but only listen song and video or film. But I alway withraw airbud from ear when I receive call because recever does not receive my voice"
3366,"One thing i like is sound quality (don expect too much quality) . Second simple and easy connectivity. Third i got at time of sale. Dislikes one, disconnected too often. Two, not satisfied with calls connectivity .."
3367,"                    The media could not be loaded.
                



 Noise cancellation"
3368,Not the best.Microphone quality is so poor. Very low sound quality in voice Voice call
3369,Bahut hi ghatiya product hai awaaz solo ho jati hai 1week use karne ke baad
3370,Left eardopes not working must after a month of purchase. Also giving pain on outside of my ear.
3371,"Works well with my android mobile. I can clearly hear the voice and my voice is clear to the listener. Fits well in ears.Tried using this with HP laptop calls, Listener cannot hear me properly.This is good for mobile."
3372,"Noice cancellation is to be improve,Boat company may improve boat airdopes 121v2 noice cancellation in future seems to be good."
3373,Good
3374,Nice product best sound big battery time
3375,Sound clarity and base are not up to mark.....I think higher end products will be satisfactory
3376,Excellent sound quality....
3377,"I just use for 2months and product stop working don't espect this result from boatPlease don't buy this product,waste of money"
3378,Sound quality is good but it's not so durable if you are working out Or running and it got slip from your ears than it'll be split in two parts. So be very careful while using it during workout or running.
